hr,name,flamsteed,bayer,bayer_sup,cst,hd,sao,var_id,ra_deg_j2000,dec_deg_j2000,vmag,vmag_code,b_v,sp_type,pm_ra_arcsec,pm_de_arcsec,parallax_arcsec,is_ghost
3848,,,,,,83731,155387,,145.08375,-10.769167,6.37,,0.08,A2V,-0.004,-0.001,,false
3849, 38Kap Hya,38,Kap,,Hya,83754,155388,4576,145.076667,-14.332222,5.06,,-0.15,B5V,-0.027,-0.02,,false
3850,,,,,,83787,61633,DR Leo,145.396667,31.278056,5.89,,1.6,K6III,0.03,-0.001,,false
3851, 43    Lyn,43,,,Lyn,83805,61636,,145.50125,39.757778,5.62,,0.95,G8III,-0.05,-0.045,0.018,false
3852, 14Omi Leo,14,Omi,,Leo,83808,98709,,145.2875,9.892222,3.52,,0.49,F6II+A1-5V,-0.142,-0.037,0.034,false
3853, 13    Leo,13,,,Leo,83821,80970,,145.410417,25.912778,6.24,,1.25,gK2,-0.014,-0.033,0.013,false
3854,,,,,,83869,42990,,145.679583,48.431111,6.39,,-0.01,A1V,-0.03,-0.017,,false
3855,,,,,,83886,27359,,145.779167,54.363611,6.47,,0.13,A5m,-0.035,-0.034,,false
3856,,,,,,83944,250653,4577,144.8375,-61.328056,4.52,,-0.07,B9IV-V,-0.041,0.021,,false
3857, 13    LMi,13,,,LMi,83951,61648,,145.677917,35.093333,6.14,,0.36,F3V,-0.021,-0.052,,false
3858,,,,,,83953,177840,,145.320833,-23.591667,4.77,,-0.12,B6Ve,-0.028,-0.004,,false
3859,,,,,,83962,14976,,146.152917,64.983889,6.17,R,,F3Vn,-0.049,0.012,,false
3860,   Zet Cha,,Zet,,Cha,83979,258538,Zet Cha,143.471667,-80.941389,5.11,,-0.14,B5V,-0.043,0.007,,false
3861, 15    Leo,15,,,Leo,84107,61656,,145.88875,29.974444,5.64,,0.12,A2IV,-0.018,-0.1,,false
3862,,,,,,84117,177866,,145.56,-23.915556,4.94,,0.53,F9IV,-0.395,0.26,0.08,false
3863,,,,,,84121,237221,,145.177083,-57.983611,5.32,,0.2,A3IV,-0.034,0.006,0.031,false
